time,seconds_elapsed,z,y,x
1702338674110665700,0.126665771484375,-70.625,-8.8125,12.875
1702338674209929700,0.2259296875,-68.4375,-8.25,13.75
1702338674309192200,0.325192138671875,-65.1875,-8.6875,13.25
1702338674408456200,0.424456298828125,-73.6875,-9.625,5.5
1702338674507718700,0.52371875,-71.9375,-10.1875,4.375
1702338674606983000,0.62298291015625,-71.125,-12.3125,3.875
1702338674706245400,0.722245361328125,-71.8125,-12.8125,0.875
1702338674805507800,0.8215078125,-72.8125,-13.5,-2.1875
1702338674904771800,0.920771728515625,-71.875,-14.1875,-3.375
1702338675004034300,1.020034423828125,-71.25,-14.5,-3.5
1702338675103298300,1.11929833984375,-68.1875,-17.0625,-6
1702338675202561000,1.21856103515625,-68.875,-16.8125,-8.375
1702338675301825000,1.317824951171875,-69.875,-16.625,-10.875
1702338675401087500,1.41708740234375,-72.25,-14.625,-13.5625
1702338675500351500,1.5163515625,-72.3125,-14.375,-16.375
1702338675599614000,1.615614013671875,-77.875,-8.9375,-18.8125
1702338675698878200,1.714878173828125,-81.5625,-1.5,-17.875
1702338675798140700,1.814140625,-87.1875,4.25,-15.6875
1702338675897404700,1.91340478515625,-84.9375,4.8125,-17.375
1702338675996667100,2.012667236328125,-88.125,3.9375,-23.8125
1702338676095931100,2.11193115234375,-89.375,8.625,-26.125
1702338676195193900,2.21119384765625,-136,38.4375,-41.9375
1702338676294456300,2.310456298828125,-153,1.9375,1.625
1702338676393720300,2.40972021484375,-121.25,-7.9375,-53.6875
1702338676492982800,2.508982666015625,-147.875,-25.875,-5.1875
1702338676592246800,2.608246826171875,-147.3125,-27.3125,-2.75
1702338676691509200,2.70750927734375,-150.4375,-27.625,-3.4375
1702338676790773500,2.8067734375,-152.8125,-27.1875,-3.9375
1702338676890036000,2.906035888671875,-152.25,-27.25,-3.9375
1702338676989300000,3.005300048828125,-152.625,-27.125,-3.9375
1702338677088561000,3.104560791015625,-152.875,-27.25,-3.9375
1702338677187826400,3.203826416015625,-152.5625,-27.3125,-4.4375
1702338677287089200,3.303089111328125,-152.8125,-27.3125,-3.875
1702338677386353200,3.402353271484375,-152.75,-27,-3.6875
1702338677485615600,3.50161572265625,-152.5625,-26.375,-4.25
1702338677584878000,3.600878173828125,-152.9375,-26.375,-4.6875
1702338677684140500,3.700140625,-152.125,-26.625,-4.0625
1702338677783404500,3.799404541015625,-152.9375,-26.9375,-4
1702338677882668800,3.898668701171875,-152.625,-26.8125,-4.1875
1702338677981931300,3.99793115234375,-152.3125,-26.6875,-4.125
1702338678081195300,4.0971953125,-152.5,-26.875,-4.125
1702338678180457700,4.196457763671875,-152.5,-25.8125,-4.125
1702338678279720200,4.29572021484375,-152.5625,-26.6875,-4.6875
1702338678378984400,4.394984375,-152.3125,-27.3125,-4.1875
1702338678478248400,4.49424853515625,-152.8125,-26.4375,-4.4375
1702338678577511000,4.593510986328125,-152.375,-26.6875,-4.25
1702338678676773400,4.6927734375,-152.9375,-26.6875,-4
1702338678776035800,4.792035888671875,-152.4375,-27.25,-3.9375
1702338678875300000,4.891300048828125,-152.6875,-26.25,-4.375
1702338678974564000,4.990564208984375,-152.3125,-26.4375,-3.9375
1702338679073826600,5.08982666015625,-152.3125,-27.125,-4.375
1702338679173089000,5.189089111328125,-153.125,-27.125,-4.125
1702338679272353000,5.28835302734375,-152.375,-27.125,-4.25
