time,seconds_elapsed,z,y,x
1702338741664051700,0.1330517578125,-31,-21.5625,15.375
1702338741763315700,0.232315673828125,-31.1875,-21.75,14.75
1702338741862578200,0.331578125,-31.1875,-21.6875,14.5
1702338741961842400,0.430842529296875,-31.5,-21.6875,14.5625
1702338742061105000,0.53010498046875,-31.8125,-21.6875,14.8125
1702338742160367400,0.629367431640625,-32.0625,-21.875,14.9375
1702338742269562600,0.738562744140625,-31.4375,-21.4375,14.875
1702338742368820500,0.837820556640625,-30.75,-21.875,14.8125
1702338742468083000,0.9370830078125,-31.5,-21.5625,15.25
1702338742567348500,1.036348388671875,-30.875,-21.875,15.625
1702338742666611200,1.135611083984375,-31.6875,-21.9375,15.5625
1702338742765873700,1.234873779296875,-31.5,-21.6875,16.6875
1702338742865172000,1.334171875,-32.1875,-21.125,17.4375
1702338742964400000,1.433400146484375,-31.125,-22.3125,18.375
1702338743063662600,1.53266259765625,-31.125,-23,17.25
1702338743162926600,1.631926513671875,-32.0625,-22.25,15.875
1702338743262189300,1.731189208984375,-32.75,-22.25,12.375
1702338743361453300,1.830453369140625,-33.125,-21.75,12.0625
1702338743460715800,1.9297158203125,-34.5625,-19.75,11.25
1702338743559979800,2.028979736328125,-34.0625,-19.3125,10.9375
1702338743659242200,2.1282421875,-34.4375,-19.875,10.1875
1702338743758506500,2.227506591796875,-34.25,-20.8125,8.875
1702338743857803300,2.32680322265625,-34.1875,-21.0625,7.125
1702338743957031400,2.426031494140625,-34.6875,-21.3125,5.6875
1702338744056295400,2.52529541015625,-34.0625,-21.5625,4.1875
1702338744155558000,2.624557861328125,-34.4375,-20.5,6.25
1702338744254822100,2.723822265625,-34.25,-20.0625,7.125
1702338744354084600,2.823084716796875,-35.875,-17.8125,9.25
1702338744453348600,2.9223486328125,-35.6875,-19.0625,8.75
1702338744552611000,3.021611083984375,-35.875,-19.375,7.75
1702338744651875000,3.120875,-36.75,-18.375,7.375
1702338744751137500,3.220137451171875,-38.4375,-13.6875,6.875
1702338744850430000,3.319429931640625,-40.3125,-9.875,10.75
1702338744949664300,3.418664306640625,-38.4375,-15.5625,12.1875
