time,seconds_elapsed,z,y,x
1702338741562780400,0.122780517578125,45.9375,11.5625,54.25
1702338741662774300,0.222774169921875,46.75,10.9375,54.25
1702338741762760200,0.32276025390625,48.625,13.5,54.3125
1702338741862746000,0.42274609375,44.375,15.625,54.0625
1702338741962763300,0.52276318359375,43.1875,18.3125,54.8125
1702338742062749200,0.622749267578125,43.8125,18,55.25
1702338742162766300,0.722766357421875,44.0625,17.25,54.25
1702338742262752300,0.822752197265625,44.75,17.625,55
1702338742362769400,0.922769287109375,44.25,16.375,53.0625
1702338742462755600,1.022755615234375,44.5625,15.875,51.6875
1702338742562772700,1.122772705078125,44.4375,15.125,48.3125
1702338742662758700,1.222758544921875,42,18.8125,45.625
1702338742762744600,1.32274462890625,44.25,15.5625,44.8125
1702338742862761700,1.42276171875,43.25,15.9375,45
1702338742962747600,1.52274755859375,46.8125,12.375,51.6875
1702338743062764800,1.622764892578125,46.375,12.75,50.375
1702338743162749200,1.722749267578125,59.125,7.375,52.75
1702338743262767900,1.822767822265625,60,7.0625,51.875
1702338743362752300,1.922752197265625,60.25,7,51.375
1702338743462771200,2.022771240234375,47.5625,12.5,51.1875
1702338743562757000,2.122757080078125,46.4375,13.75,50.75
1702338743662774300,2.222774169921875,48.3125,12,52.4375
1702338743762758700,2.322758544921875,49.5,10.125,51.3125
1702338743862746000,2.42274609375,50.5625,9.4375,48.9375
1702338743962763300,2.52276318359375,49.5,8.5625,49
1702338744062749200,2.622749267578125,47.1875,11.75,50.1875
1702338744162766300,2.722766357421875,47.6875,11.9375,50.6875
1702338744262750700,2.822750732421875,46.8125,13.0625,50.6875
1702338744378312700,2.938312744140625,46.9375,12,51.75
1702338744476156400,3.036156494140625,45.625,13.875,52.875
1702338744576257000,3.136257080078125,44.5625,13.6875,50.375
1702338744676182500,3.2361826171875,47.25,11.8125,50
1702338744776160300,3.33616015625,43.625,13.9375,50.1875
1702338744876180000,3.436179931640625,42.5625,18.625,55.4375
1702338744976140800,3.536140869140625,39.5,22.375,70.3125
1702338745076134700,3.636134765625,34.4375,24.375,88.9375
1702338745176534500,3.736534423828125,31.6875,32.6875,98.875
1702338745276127200,3.836127197265625,31.75,35.4375,104.6875
1702338745376152800,3.93615283203125,34.875,35.5625,90.5
1702338745476337700,4.036337646484375,38.875,33.4375,85.625
1702338745576356600,4.136356689453125,39.5,30.125,75.5625
1702338745676403500,4.236403564453125,45.875,24.8125,51.875
1702338745776182000,4.33618212890625,43.25,7.1875,58.375
1702338745876165400,4.436165283203125,36.125,25.875,63.4375
1702338745976197600,4.53619775390625,33,32.1875,54.5
1702338746076344600,4.636344482421875,21.875,34.75,58.8125
1702338746176152800,4.73615283203125,-9.375,29.3125,62.1875
1702338746276358700,4.836358642578125,-10.3125,34.625,69.625
1702338746376457000,4.93645703125,-4.5,39.1875,70.375
1702338746476178000,5.036177978515625,19.8125,48.9375,56.625
1702338746576276700,5.13627685546875,-14.8125,75.75,17.125
1702338746676167000,5.2361669921875,-18.9375,66.9375,6.375
1702338746776151300,5.3361513671875,-15.3125,61.9375,3.6875
1702338746876150300,5.436150390625,-11.625,68.8125,11.6875
1702338746976403500,5.536403564453125,-8.6875,67.875,6.8125
1702338747076137700,5.6361376953125,-9.5,69.3125,3.4375
1702338747176130000,5.736130126953125,-11.5625,67.75,-13.25
1702338747276119600,5.83611962890625,-3.25,61.0625,-17.75
1702338747376087300,5.93608740234375,-7.625,69.25,-13.875
1702338747476131600,6.036131591796875,-3.4375,91.375,8.4375
1702338747576377900,6.1363779296875,-7.1875,94.3125,8.0625
1702338747676341500,6.236341552734375,-4.3125,93.4375,10.75
1702338747776143400,6.336143310546875,5.125,97.25,15.6875
1702338747876125700,6.436125732421875,11.5,101.75,22.75
1702338747976252000,6.536251953125,10.3125,101.5625,24.75
1702338748076573200,6.6365732421875,17.25,90.9375,21.5625
1702338748176254500,6.73625439453125,19.75,85.1875,22.1875
1702338748276447700,6.83644775390625,12.875,87.125,17.4375
1702338748376142300,6.936142333984375,4.25,104.9375,20.8125
1702338748476345000,7.036344970703125,9.125,118.5,36
1702338748576230400,7.13623046875,12.0625,115,40.9375
1702338748676267500,7.236267578125,14.9375,111.1875,41.75
1702338748776230400,7.33623046875,17.5625,109.25,41.75
1702338748876407600,7.436407470703125,26.9375,106.5,46.4375
1702338748976146200,7.536146240234375,28,110.3125,49.8125
1702338749076179000,7.636178955078125,30.625,111,55.125
1702338749176146700,7.736146728515625,32.625,112.4375,62.1875
1702338749276148700,7.836148681640625,45.125,117.75,77.5625
1702338749376152300,7.93615234375,51.4375,119.875,82.625
1702338749476392000,8.036391845703125,54.3125,119.625,81.625
1702338749576315000,8.13631494140625,56.25,122.4375,80.5625
1702338749676156400,8.236156494140625,56.875,126.1875,82.0625
1702338749776171500,8.336171630859376,62.25,127.75,83.4375
1702338749876184000,8.43618408203125,59.5625,132.25,82.5
1702338749976228400,8.536228271484376,61.6875,149.8125,68.25
1702338750076130000,8.636130126953125,24.25,179.1875,31.0625
1702338750176467500,8.736467529296876,23.1875,179.625,29.6875
1702338750276096000,8.836095947265624,22.375,179.25,28.875
1702338750376651800,8.93665185546875,21.6875,180.125,27.75
1702338750476697000,9.036697021484375,21.75,181.1875,28.6875
1702338750576114400,9.136114501953125,22.0625,180,28.8125
1702338750676151300,9.2361513671875,21.9375,179.625,28.9375
1702338750776373800,9.336373779296874,22.125,179.375,28.625
1702338750876115500,9.436115478515624,33.25,174.6875,27.9375
1702338750976092400,9.536092529296875,33.25,176,28.125
1702338751076103400,9.636103515625,30.25,177,28.25
1702338751176099800,9.736099853515626,22.375,179.5,29.5
1702338751276102000,9.836101806640626,21.875,179.6875,28.8125
1702338751376370000,9.936369873046875,21.6875,179.4375,28.5
1702338751476108000,10.03610791015625,22.0625,180.375,29.0625
1702338751576567000,10.136567138671875,21.75,179.8125,28.625
1702338751676379400,10.23637939453125,21.5,180.1875,29.6875
1702338751776772600,10.336772705078126,21.25,179.8125,29.0625
1702338751876295200,10.436295166015626,25.25,178.5625,28.6875
1702338751976300300,10.53630029296875,22.625,178.75,29.125
1702338752076325400,10.636325439453126,22.875,178.1875,28.0625
1702338752176089900,10.73608984375,22.5625,178.8125,30.0625
1702338752276123100,10.836123046875,22.125,178.8125,30.0625
1702338752376271000,10.93627099609375,35.125,175.375,30.0625
1702338752476136700,11.03613671875,22.5625,178.5625,29.4375
1702338752576079400,11.136079345703125,23.8125,177.25,29.3125
1702338752676327000,11.236326904296876,22.5,178.8125,29.5
1702338752776368400,11.336368408203125,22.5625,179.25,28.875
1702338752876264200,11.43626416015625,28.125,178.3125,29.4375
1702338752976081000,11.536080810546874,22.9375,178,29.25
1702338753076190000,11.63618994140625,22.1875,179.8125,28.9375
1702338753176363300,11.73636328125,21.4375,179.625,29.125
1702338753276110600,11.836110595703126,22.5625,180.125,29.6875
1702338753376310300,11.936310302734375,21.75,180.5625,28.9375
1702338753476121600,12.03612158203125,22.0625,179.9375,29.75
1702338753576206000,12.1362060546875,22.8125,178.5625,29.625
1702338753676087800,12.236087890625,22.75,178.5,29.875
1702338753776100400,12.336100341796875,22.125,179.75,28.875
1702338753876231400,12.4362314453125,23.1875,179.375,30.4375
1702338753976833500,12.53683349609375,21.6875,180.125,28.9375
1702338754076122000,12.6361220703125,21.9375,179.375,30.25
1702338754176105500,12.73610546875,22.125,180.375,29.875
1702338754276542500,12.83654248046875,22.5625,180.375,28.5
1702338754376320500,12.936320556640625,22.1875,179.8125,29.4375
