time,seconds_elapsed,z,y,x
1702338694237613800,0.31661376953125,-54.00013732910156,-20.831451416015625,41.08735656738281
1702338694338352400,0.417352294921875,-55.575714111328125,-21.283126831054688,46.25367736816406
1702338694439060200,0.518060302734375,-55.56060791015625,-21.417572021484375,43.90919494628906
1702338694540256500,0.619256591796875,-56.07147216796875,-22.30072021484375,42.877197265625
1702338694640507000,0.7195068359375,-55.12554931640625,-22.062606811523438,40.88795471191406
1702338694741215000,0.820215087890625,-55.255462646484375,-22.219711303710938,39.11750793457031
1702338694841892400,0.920892333984375,-55.49565124511719,-23.437271118164062,38.41053771972656
1702338694942631000,1.021630859375,-54.93218994140625,-24.000732421875,37.09327697753906
1702338695043339000,1.122339111328125,-52.74481201171875,-24.959976196289062,35.53431701660156
1702338695144046800,1.223046875,-51.68284606933594,-26.422256469726562,32.87864685058594
1702338695244999200,1.323999267578125,-51.636016845703125,-27.21533203125,32.10369873046875
1702338695345493500,1.424493408203125,-51.05744934082031,-28.077896118164062,31.207901000976562
1702338695446171000,1.5251708984375,-49.48036193847656,-29.028076171875,29.815109252929688
1702338695546848500,1.6258486328125,-49.70393371582031,-29.48126220703125,29.593048095703125
1702338695647556400,1.726556396484375,-49.01206970214844,-30.090042114257812,29.537155151367188
1702338695748539100,1.8275390625,-47.35491943359375,-30.19427490234375,29.096054077148438
1702338695849521700,1.928521728515625,-48.385162353515625,-29.583984375,29.6927490234375
1702338695950016300,2.029016357421875,-48.69181823730469,-30.482803344726562,29.470687866210938
1702338696050724000,2.12972412109375,-47.87004089355469,-30.913330078125,29.62628173828125
1702338696151584800,2.230584716796875,-49.12385559082031,-30.245635986328125,29.337753295898438
1702338696252048600,2.331048583984375,-50.249267578125,-30.016021728515625,27.712326049804688
1702338696353000700,2.432000732421875,-50.10575866699219,-29.339263916015625,25.145782470703125
1702338696453800400,2.532800537109375,-50.20243835449219,-28.878524780273438,22.888916015625
1702338696554355700,2.633355712890625,-49.96073913574219,-28.6051025390625,21.50518798828125
1702338696654911200,2.7339111328125,-49.94563293457031,-28.389083862304688,20.255905151367188
1702338696755680300,2.83468017578125,-50.74928283691406,-28.159469604492188,19.459808349609375
1702338696856357600,2.935357666015625,-52.54994201660156,-27.43890380859375,20.455307006835938
1702338696957401300,3.0364013671875,-57.31292724609375,-23.295272827148438,21.70458984375
1702338697057926400,3.136926513671875,-62.38105773925781,-18.142547607421875,21.361679077148438
1702338697158512000,3.23751220703125,-66.74652099609375,-14.44091796875,21.856689453125
1702338697259281400,3.338281494140625,-67.27093505859375,-12.99737548828125,15.509536743164062
1702338697359897900,3.43889794921875,-70.07162475585938,-12.923355102539062,6.6693878173828125
1702338697460880400,3.53988037109375,-81.01153564453125,-19.2271728515625,0.1087646484375
1702338697561313800,3.640313720703125,-88.53744506835938,-59.00935363769531,0.2537841796875
1702338697662357500,3.741357421875,-37.750396728515625,-110.64234924316406,-45.73704528808594
1702338697763126500,3.84212646484375,-82.491943359375,-29.585494995117188,-83.2412109375
1702338697863560000,3.942559814453125,-99.99247741699219,-12.551742553710938,-61.78889465332031
1702338697964146000,4.04314599609375,-103.64666748046875,-8.891510009765625,-51.50157165527344
1702338698064884200,4.14388427734375,-104.37025451660156,-7.791778564453125,-50.814239501953125
1702338698165684000,4.24468408203125,-104.4503173828125,-7.806884765625,-51.41093444824219
1702338698266544400,4.34554443359375,-104.11042785644531,-8.140731811523438,-50.84898376464844
1702338698367344000,4.44634423828125,-104.65850830078125,-7.79571533203125,-51.4739990234375
1702338698467734300,4.546734375,-104.23736572265625,-7.7728271484375,-50.970458984375
1702338698568503300,4.64750341796875,-102.95480346679688,-7.888458251953125,-50.18431091308594
1702338698669211100,4.748211181640625,-102.26142883300781,-8.275177001953125,-50.40486145019531
1702338698770071800,4.84907177734375,-103.48654174804688,-8.297836303710938,-50.2613525390625
1702338698870810400,4.949810302734375,-104.08021545410156,-8.074264526367188,-50.161651611328125
1702338698971549000,5.050548828125,-103.11492919921875,-7.6210784912109375,-50.05137634277344
1702338699072287500,5.15128759765625,-103.30677795410156,-8.007797241210938,-49.654083251953125
1702338699172751400,5.25175146484375,-103.25843811035156,-8.214752197265625,-50.64958190917969
1702338699273367800,5.352367919921875,-103.7252197265625,-7.7117156982421875,-51.19189453125
1702338699374136800,5.45313671875,-104.19200134277344,-7.9775848388671875,-51.9532470703125
1702338699475119400,5.554119384765625,-104.03036499023438,-7.8295440673828125,-52.0982666015625
1702338699575797000,5.654796875,-103.7252197265625,-7.7479705810546875,-52.00914001464844
1702338699676444000,5.75544384765625,-105.24444580078125,-8.111572265625,-52.24456787109375
1702338699776907800,5.85590771484375,-104.1602783203125,-7.719268798828125,-51.13600158691406
1702338699877676800,5.9566767578125,-103.96842956542969,-6.9987030029296875,-50.626922607421875
1702338699978659600,6.05765966796875,-103.6768798828125,-7.2434234619140625,-51.478912353515625
1702338700079062300,6.158062255859375,-103.7735595703125,-7.821990966796875,-51.092193603515625
1702338700180411100,6.2594111328125,-104.52886962890625,-8.118072509765625,-49.98490905761719
1702338700281180200,6.36018017578125,-104.49714660644531,-7.7993316650390625,-50.70396423339844
1702338700381278000,6.46027783203125,-103.7735595703125,-7.806884765625,-50.94868469238281
1702338700481894400,6.560894287109375,-103.59681701660156,-8.22381591796875,-51.00306701660156
1702338700582602200,6.661602294921875,-103.67839050292969,-8.35675048828125,-50.59519958496094
1702338700683310300,6.762310302734375,-103.96842956542969,-7.8144378662109375,-51.13600158691406
1702338700784262400,6.863262451171875,-103.64515686035156,-7.598419189453125,-51.158660888671875
1702338700885489400,6.964489501953125,-104.6112060546875,-7.77435302734375,-51.3397216796875
1702338700986044700,7.065044677734375,-105.3253173828125,-8.0291748046875,-51.80816650390625
1702338701087180000,7.166179931640625,-105.6671142578125,-8.1939697265625,-51.4617919921875
1702338701187460900,7.2664609375,-104.67681884765625,-8.1939697265625,-50.970458984375
1702338701288382500,7.367382568359375,-104.56390380859375,-8.1787109375,-51.239013671875
1702338701389792300,7.468792236328125,-105.29327392578125,-7.75909423828125,-52.1881103515625
1702338701490500400,7.569500244140625,-105.084228515625,-7.81097412109375,-52.37884521484375
1702338701591391500,7.6703916015625,-105.13153076171875,-8.0657958984375,-51.51824951171875
1702338701691000800,7.770000732421875,-105.50537109375,-7.71331787109375,-51.68609619140625
1702338701792044500,7.87104443359375,-104.86907958984375,-8.1329345703125,-51.46331787109375
1702338701892722000,7.971721923828125,-104.18701171875,-8.38165283203125,-51.30462646484375
1702338701995169500,8.07416943359375,-104.83856201171875,-7.9833984375,-51.24969482421875
1702338702094718000,8.173718017578125,-105.0323486328125,-8.04290771484375,-51.629638671875
1702338702194785000,8.273784912109376,-105.50384521484375,-8.1787109375,-50.982666015625
1702338702295309800,8.374309814453126,-105.06744384765625,-7.9315185546875,-50.6805419921875
