time,seconds_elapsed,y,z,x
1702338694400675300,0.23767529296875,-14,2,-2
1702338694500464600,0.337464599609375,-14,1,-2
1702338694600551400,0.437551513671875,-14,0,-3
1702338694700468500,0.537468505859375,-14,0,-4
1702338694800474600,0.637474609375,-14,0,-2
1702338694900501200,0.737501220703125,-14,2,-2
1702338695000943000,0.837943115234375,-15,3,0
1702338695100960800,0.937960693359375,-17,4,1
1702338695201043000,1.03804296875,-17,2,-1
1702338695300603600,1.137603759765625,-17,2,-2
1702338695401022200,1.238022216796875,-15,0,-6
1702338695501005300,1.33800537109375,-14,-2,-10
1702338695685229000,1.52222900390625,-15,-1,-11
1702338695780569600,1.617569580078125,-15,0,-11
1702338695880987000,1.71798681640625,-16,-1,-10
1702338695981822500,1.818822509765625,-18,0,-10
1702338696220531000,2.057531005859375,-18,1,-6
1702338696321156900,2.158156982421875,-18,1,-4
1702338696420471600,2.257471435546875,-20,4,0
1702338696521076500,2.358076416015625,-22,5,0
1702338696620667600,2.457667724609375,-23,6,0
1702338696720668700,2.557668701171875,-24,5,1
1702338696820792800,2.657792724609375,-25,5,2
1702338696926596400,2.763596435546875,-25,5,2
1702338697100638000,2.937637939453125,-22,4,2
1702338697200635600,3.0376357421875,-18,-1,2
1702338697303008300,3.14000830078125,-14,-4,2
1702338697400534300,3.2375341796875,-11,-4,10
1702338697502095600,3.339095703125,-10,-3,11
1702338697601144800,3.438144775390625,-11,1,15
1702338697700591900,3.537591796875,-16,5,12
1702338697801251000,3.6382509765625,-24,6,6
1702338697900549600,3.737549560546875,-29,-2,-5
1702338698000584700,3.837584716796875,-28,-17,-20
1702338698100555500,3.937555419921875,-17,-48,-17
1702338698200534300,4.0375341796875,19,-112,-87
1702338698300541700,4.137541748046875,19,-111,-88
1702338698400535000,4.23753515625,19,-112,-88
1702338698500531500,4.337531494140625,19,-112,-88
1702338698600539000,4.437538818359375,19,-111,-88
1702338698700529400,4.537529296875,19,-112,-88
1702338698800553500,4.637553466796875,19,-112,-87
1702338698900531200,4.73753125,19,-112,-87
1702338699000522000,4.83752197265625,19,-112,-88
1702338699100527900,4.93752783203125,19,-112,-88
1702338699200533500,5.037533447265625,19,-113,-88
1702338699301806600,5.138806640625,19,-113,-87
1702338699400556300,5.237556396484375,20,-113,-87
1702338699580473600,5.4174736328125,19,-112,-88
1702338699680478500,5.517478515625,19,-113,-87
1702338699780536800,5.617536865234375,19,-112,-88
1702338699880537600,5.71753759765625,19,-113,-88
1702338699982109200,5.819109130859375,19,-113,-87
1702338700082141400,5.919141357421875,19,-113,-89
1702338700182808300,6.019808349609375,19,-112,-87
1702338700280639200,6.11763916015625,19,-113,-88
1702338700380495400,6.217495361328125,19,-112,-88
1702338700481880600,6.318880615234375,19,-113,-88
1702338700582033400,6.419033447265625,20,-113,-87
1702338700682110200,6.519110107421875,19,-113,-88
1702338700782080000,6.619080078125,20,-113,-88
1702338700881452800,6.718452880859375,19,-111,-87
1702338700981878000,6.8188779296875,19,-114,-87
1702338701080563500,6.9175634765625,19,-112,-87
1702338701181725400,7.018725341796875,19,-112,-88
1702338701280573400,7.117573486328125,19,-112,-88
1702338701382098700,7.2190986328125,18,-113,-88
1702338701481800400,7.318800537109375,20,-112,-87
1702338701582153500,7.419153564453125,20,-111,-89
1702338701680545300,7.517545166015625,19,-112,-87
1702338701782040300,7.619040283203125,19,-111,-88
1702338701882083000,7.7190830078125,19,-112,-87
1702338701982126800,7.819126953125,19,-112,-88
1702338702081835000,7.9188349609375,19,-113,-88
1702338702182063000,8.01906298828125,20,-112,-88
1702338702281722400,8.118722412109374,20,-112,-87
1702338702380659700,8.21765966796875,20,-112,-88
1702338702481848300,8.318848388671874,19,-113,-88
1702338702580567600,8.417567626953126,19,-113,-88
1702338702680558600,8.51755859375,19,-112,-87
1702338702782214700,8.619214599609375,19,-113,-88
1702338702880560400,8.717560302734375,19,-112,-88
1702338702982070300,8.8190703125,20,-112,-88
1702338703082066400,8.91906640625,19,-111,-87
1702338703180620000,9.0176201171875,20,-112,-89
1702338703280983800,9.11798388671875,19,-112,-88
1702338703380584400,9.21758447265625,20,-112,-88
1702338703482185000,9.31918505859375,20,-112,-88
1702338703581031700,9.41803173828125,19,-112,-87
1702338703681360000,9.51835986328125,20,-112,-88
1702338703782048800,9.619048828125,19,-112,-88
1702338703881073200,9.7180732421875,19,-112,-88
1702338703982033700,9.81903369140625,19,-112,-88
1702338704082102800,9.919102783203124,19,-111,-88
1702338704180742700,10.01774267578125,19,-111,-88
1702338704280594200,10.11759423828125,20,-112,-88
1702338704382048800,10.219048828125,19,-111,-89
1702338704480572400,10.317572509765625,20,-112,-88
1702338704660585000,10.4975849609375,19,-112,-88
1702338704762052400,10.59905224609375,19,-110,-88
1702338704860571400,10.6975712890625,19,-114,-88
1702338704962135300,10.79913525390625,19,-112,-88
1702338705062109000,10.89910888671875,19,-112,-87
1702338705162102000,10.99910205078125,19,-111,-88
1702338705260606000,11.09760595703125,19,-112,-88
1702338705362019000,11.19901904296875,19,-110,-88
1702338705461097000,11.298096923828124,19,-113,-88
1702338705561412000,11.398412109375,19,-112,-88
1702338705660551400,11.497551513671874,19,-113,-88
1702338705760478200,11.597478271484375,19,-112,-87
1702338705860477000,11.697476806640625,19,-112,-87
1702338705960537900,11.797537841796874,20,-112,-88
1702338706060524800,11.89752490234375,19,-111,-88
1702338706160532500,11.997532470703124,19,-112,-89
1702338706261471500,12.098471435546875,19,-113,-88
1702338706360542700,12.197542724609375,19,-112,-87
1702338706460551700,12.2975517578125,19,-112,-87
1702338706560506400,12.39750634765625,19,-112,-87
1702338706660551400,12.497551513671874,19,-113,-88
1702338706760564500,12.597564453125,19,-112,-88
1702338706860545000,12.697544921875,19,-113,-87
1702338706960565500,12.7975654296875,19,-113,-88
1702338707060523300,12.897523193359374,19,-112,-88
1702338707160550700,12.997550537109374,20,-111,-88
1702338707260594400,13.097594482421876,19,-112,-88
1702338707360539400,13.197539306640625,19,-112,-87
1702338707460535000,13.29753515625,19,-111,-88
1702338707560534300,13.3975341796875,19,-111,-88
1702338707661462000,13.4984619140625,20,-113,-88
1702338707760565800,13.597565673828125,19,-113,-88
1702338707860549000,13.697549072265625,19,-112,-88
1702338708021064000,13.85806396484375,20,-111,-88
1702338708120481300,13.957481201171875,20,-113,-89
1702338708222199600,14.059199462890625,19,-112,-89
1702338708320501200,14.157501220703125,19,-112,-88
1702338708421256000,14.258255859375,19,-112,-88
1702338708522105900,14.35910595703125,19,-111,-87
1702338708622081300,14.459081298828124,19,-111,-89
1702338708722125600,14.55912548828125,19,-113,-89
1702338708821824300,14.65882421875,19,-111,-88
1702338708922116000,14.7591162109375,20,-112,-88
1702338709020590800,14.8575908203125,19,-112,-88
1702338709120573200,14.9575732421875,19,-112,-88
1702338709221881600,15.058881591796874,19,-112,-88
1702338709320495400,15.157495361328126,19,-112,-88
1702338709420545500,15.257545654296875,19,-113,-88
1702338709522176000,15.359176025390624,19,-112,-88
1702338709620832300,15.457832275390626,19,-112,-87
1702338709720589300,15.55758935546875,19,-111,-87
1702338709821384000,15.658384033203125,19,-113,-88
