time,seconds_elapsed,z,y,x
1702338674414860500,0.296860595703125,-381.55364990234375,-198.36273193359375,-264.04266357421875
1702338674515568600,0.397568603515625,-380.43975830078125,-201.0345458984375,-259.2193603515625
1702338674616276700,0.49827685546875,-379.11834716796875,-203.1768798828125,-255.0689697265625
1702338674716954000,0.5989541015625,-377.58941650390625,-204.9041748046875,-251.20086669921875
1702338674817692700,0.699692626953125,-377.32086181640625,-204.98046875,-250.2349853515625
1702338674918400800,0.80040087890625,-378.1402587890625,-203.717041015625,-247.7630615234375
1702338675019108600,0.901108642578125,-374.59259033203125,-207.305908203125,-243.1732177734375
1702338675119786200,1.0017861328125,-372.29156494140625,-210.41259765625,-242.8314208984375
1702338675220524800,1.10252490234375,-367.79022216796875,-215.9515380859375,-244.45343017578125
1702338675321202200,1.2032021484375,-369.8822021484375,-216.11480712890625,-246.6888427734375
1702338675422246000,1.304245849609375,-371.77886962890625,-214.8895263671875,-245.82977294921875
1702338675522648800,1.40464892578125,-378.69110107421875,-208.10699462890625,-242.8619384765625
1702338675623356700,1.505356689453125,-385.455322265625,-197.90802001953125,-240.74249267578125
1702338675724095200,1.60609521484375,-386.3006591796875,-196.76055908203125,-240.1947021484375
1702338675824772600,1.706772705078125,-383.31451416015625,-199.114990234375,-235.12725830078125
1702338675925480700,1.807480712890625,-381.982421875,-199.62615966796875,-231.8756103515625
1702338676026188800,1.908188720703125,-382.568359375,-198.101806640625,-229.32586669921875
1702338676126896600,2.008896728515625,-382.373046875,-197.40753173828125,-227.2552490234375
1702338676227604700,2.109604736328125,-383.7310791015625,-196.5484619140625,-226.513671875
1702338676328312800,2.210312744140625,-385.260009765625,-195.941162109375,-227.3040771484375
1702338676429051400,2.311051513671875,-388.68560791015625,-194.47479248046875,-232.3333740234375
1702338676529728800,2.411728759765625,-390.12908935546875,-190.24810791015625,-244.04296875
1702338676630467300,2.51246728515625,-386.72943115234375,-183.45489501953125,-252.783203125
1702338676731206000,2.613205810546875,-374.62921142578125,-177.83050537109375,-291.5618896484375
1702338676831822300,2.713822265625,-372.6715087890625,-177.6947021484375,-298.779296875
1702338676932530200,2.8145302734375,-372.29156494140625,-177.91748046875,-298.7701416015625
1702338677033268700,2.915268798828125,-372.26715087890625,-177.801513671875,-298.60382080078125
1702338677133946400,3.0159462890625,-372.4761962890625,-177.46429443359375,-298.92578125
1702338677234685000,3.116684814453125,-372.5006103515625,-177.88848876953125,-298.7884521484375
1702338677335362300,3.2173623046875,-372.4517822265625,-177.984619140625,-298.8189697265625
1702338677436100900,3.318100830078125,-372.37701416015625,-177.71453857421875,-298.8677978515625
1702338677536809000,3.41880908203125,-372.34039306640625,-177.8778076171875,-298.9349365234375
1702338677637486300,3.519486328125,-372.3785400390625,-177.9083251953125,-298.84796142578125
1702338677738194400,3.6201943359375,-372.3907470703125,-177.82135009765625,-298.75030517578125
1702338677838933000,3.72093310546875,-372.29156494140625,-177.9754638671875,-298.8677978515625
1702338677939610400,3.8216103515625,-372.30377197265625,-177.9083251953125,-298.9837646484375
1702338678040318500,3.922318359375,-372.34039306640625,-177.89764404296875,-298.828125
1702338678141057000,4.02305712890625,-372.3663330078125,-178.07159423828125,-298.85711669921875
1702338678241764900,4.123764892578125,-372.37701416015625,-178.00445556640625,-298.7884521484375
1702338678342473000,4.224472900390625,-372.09625244140625,-178.0517578125,-298.8677978515625
1702338678443150300,4.325150390625,-371.7529296875,-178.167724609375,-299.1790771484375
1702338678543858400,4.4258583984375,-371.728515625,-178.24554443359375,-299.21875
1702338678644566500,4.52656640625,-371.82769775390625,-177.9754638671875,-299.1607666015625
1702338678745274400,4.6272744140625,-371.76666259765625,-178.13873291015625,-299.2279052734375
1702338678846043400,4.72804345703125,-371.82769775390625,-178.0914306640625,-299.15008544921875
1702338678946751500,4.82875146484375,-371.75445556640625,-177.9754638671875,-299.29656982421875
1702338679047459600,4.92945947265625,-371.86431884765625,-178.29437255859375,-298.65264892578125
1702338679148167400,5.03016748046875,-372.07183837890625,-177.93731689453125,-298.828125
1702338679248875500,5.13087548828125,-372.20611572265625,-177.9266357421875,-298.80828857421875
1702338679349583600,5.23158349609375,-372.30377197265625,-177.94647216796875,-298.8372802734375
1702338679450291500,5.33229150390625,-372.27935791015625,-177.9266357421875,-298.9654541015625
1702338679550999600,5.43299951171875,-371.97418212890625,-177.89764404296875,-298.8189697265625
1702338679651707600,5.533707763671875,-371.85211181640625,-178.07159423828125,-299.3743896484375
1702338679752720600,5.634720703125,-371.54541015625,-178.1005859375,-299.51171875
1702338679853123600,5.73512353515625,-371.69189453125,-178.13873291015625,-299.15008544921875
1702338679953831700,5.835831787109375,-371.630859375,-178.38134765625,-299.1119384765625
1702338680054539500,5.93653955078125,-371.2890625,-178.265380859375,-299.14093017578125
1702338680155217200,6.037217041015625,-371.37451171875,-178.17840576171875,-298.583984375
1702338680255955700,6.137955810546875,-372.02301025390625,-177.91748046875,-298.6724853515625
1702338680356694000,6.238694091796875,-372.20611572265625,-177.88848876953125,-298.876953125
1702338680457371600,6.33937158203125,-372.23052978515625,-177.8106689453125,-298.7213134765625
1702338680558049000,6.440049072265625,-372.24273681640625,-177.82135009765625,-298.7213134765625
1702338680658757000,6.540757080078125,-372.18170166015625,-177.58026123046875,-298.828125
1702338680759495700,6.64149560546875,-372.26715087890625,-177.82135009765625,-298.9654541015625
1702338680860203500,6.74220361328125,-372.09625244140625,-178.07159423828125,-298.8189697265625
1702338680960911600,6.84291162109375,-371.5576171875,-178.265380859375,-298.583984375
1702338681061589200,6.94358935546875,-371.54541015625,-178.00445556640625,-298.7884521484375
1702338681162266600,7.0442666015625,-371.71783447265625,-177.6763916015625,-298.9654541015625
1702338681262974700,7.144974609375,-371.69189453125,-178.0426025390625,-298.56414794921875
1702338681363682600,7.2456826171875,-372.04742431640625,-177.87933349609375,-298.7213134765625
1702338681464421000,7.346421142578125,-371.81549072265625,-177.9083251953125,-299.10125732421875
1702338681565098800,7.4470986328125,-371.63238525390625,-178.01361083984375,-299.10125732421875
1702338681665867800,7.54786767578125,-371.82769775390625,-177.76336669921875,-299.1302490234375
1702338681766575600,7.64857568359375,-371.88873291015625,-178.00445556640625,-299.0325927734375
1702338681867283700,7.74928369140625,-371.97418212890625,-177.83966064453125,-298.66180419921875
1702338681968022300,7.850022216796875,-371.98638916015625,-177.9083251953125,-298.70147705078125
1702338682068669200,7.950669189453125,-372.12066650390625,-177.47344970703125,-298.8861083984375
1702338682169346800,8.051346923828126,-372.12066650390625,-177.87933349609375,-298.85711669921875
1702338682270085000,8.152085205078125,-372.21832275390625,-177.89764404296875,-298.80828857421875
1702338682370762800,8.2527626953125,-372.4151611328125,-177.801513671875,-298.779296875
1702338682471470800,8.353470947265626,-372.08404541015625,-177.83050537109375,-298.779296875
1702338682572178700,8.4541787109375,-372.30377197265625,-177.850341796875,-298.6907958984375
1702338682672917200,8.554917236328125,-372.30377197265625,-177.850341796875,-298.8372802734375
1702338682773625300,8.655625244140625,-372.07183837890625,-177.8594970703125,-298.85711669921875
1702338682874333200,8.756333251953125,-372.27935791015625,-177.65655517578125,-298.75030517578125
1702338682975071700,8.85707177734375,-372.15728759765625,-177.83050537109375,-298.7213134765625
1702338683075779800,8.95777978515625,-371.91314697265625,-177.9266357421875,-298.8861083984375
1702338683176488000,9.058488037109376,-372.25494384765625,-177.83050537109375,-298.73046875
1702338683277195800,9.15919580078125,-372.02301025390625,-177.7435302734375,-298.66180419921875
1702338683377842700,9.2598427734375,-372.20611572265625,-177.46429443359375,-298.9349365234375
1702338683478550800,9.36055078125,-372.10845947265625,-177.83050537109375,-298.9166259765625
1702338683579294200,9.461294189453126,-372.18170166015625,-177.83050537109375,-298.7884521484375
1702338683679971800,9.561971923828125,-371.97418212890625,-177.82135009765625,-298.8372802734375
1702338683780680000,9.662679931640625,-371.630859375,-177.93731689453125,-299.2584228515625
1702338683881418200,9.763418212890626,-371.39892578125,-178.1005859375,-299.14093017578125
1702338683982096000,9.864095947265625,-371.90093994140625,-177.95562744140625,-298.7396240234375
1702338684083139600,9.9651396484375,-372.02301025390625,-177.91748046875,-298.7884521484375
1702338684183511800,10.06551171875,-372.14508056640625,-177.685546875,-298.6907958984375
1702338684284220000,10.166219970703125,-371.98638916015625,-177.9266357421875,-298.8372802734375
1702338684384958500,10.26695849609375,-372.03521728515625,-177.8106689453125,-298.65264892578125
1702338684485635800,10.3676357421875,-372.18170166015625,-177.96630859375,-298.5748291015625
1702338684586374400,10.46837451171875,-371.59423828125,-178.17840576171875,-298.486328125
1702338684687051800,10.5690517578125,-371.76666259765625,-178.1585693359375,-298.5260009765625
1702338684787759900,10.669759765625,-372.10845947265625,-177.83050537109375,-298.65264892578125
1702338684888468000,10.770468017578125,-371.80328369140625,-177.91748046875,-298.65264892578125
1702338684989175800,10.87117578125,-371.81549072265625,-178.1005859375,-298.6419677734375
1702338685089884000,10.9718837890625,-372.20611572265625,-177.54058837890625,-298.8372802734375
1702338685190622500,11.07262255859375,-371.93756103515625,-178.08074951171875,-298.66180419921875
1702338685291330600,11.17333056640625,-372.08404541015625,-177.8106689453125,-298.6419677734375
1702338685392068900,11.27406884765625,-371.86431884765625,-177.86865234375,-298.583984375
1702338685492777000,11.37477685546875,-371.92535400390625,-178.0914306640625,-298.5260009765625
1702338685593485000,11.475485107421875,-371.90093994140625,-177.93731689453125,-298.80828857421875
1702338685694193000,11.57619287109375,-372.12066650390625,-177.801513671875,-298.7396240234375
1702338685794901000,11.67690087890625,-372.13287353515625,-178.02276611328125,-298.7213134765625
1702338685895609000,11.777609130859375,-371.91314697265625,-177.984619140625,-298.71063232421875
1702338685996317000,11.87831689453125,-371.83990478515625,-178.02276611328125,-298.55499267578125
1702338686097025000,11.97902490234375,-372.02301025390625,-177.93731689453125,-298.8677978515625
1702338686197733000,12.079733154296875,-371.87652587890625,-177.89764404296875,-298.71063232421875
1702338686298441000,12.18044091796875,-372.10845947265625,-177.88848876953125,-298.73046875
1702338686399149000,12.281149169921875,-372.05963134765625,-178.0426025390625,-298.583984375
1702338686499857200,12.381857177734375,-372.10845947265625,-177.984619140625,-298.51531982421875
1702338686600565000,12.48256494140625,-371.97418212890625,-177.83966064453125,-298.6419677734375
1702338686701303600,12.583303466796876,-371.82769775390625,-177.89764404296875,-298.828125
1702338686802011600,12.68401171875,-371.94976806640625,-177.95562744140625,-298.73046875
1702338686902689000,12.78468896484375,-371.96197509765625,-177.94647216796875,-298.6907958984375
1702338687003397000,12.885397216796875,-371.91314697265625,-177.850341796875,-298.71063232421875
1702338687104166100,12.986166259765625,-371.533203125,-178.2073974609375,-298.6724853515625
1702338687204813000,13.08681298828125,-371.96197509765625,-177.984619140625,-298.6907958984375
1702338687305551600,13.187551513671876,-371.69342041015625,-178.08074951171875,-298.51531982421875
1702338687406259700,13.288259765625,-371.82769775390625,-178.01361083984375,-298.7213134765625
1702338687506937000,13.38893701171875,-372.05963134765625,-177.94647216796875,-298.7213134765625
1702338687607645200,13.489645263671875,-372.02301025390625,-177.83966064453125,-298.7213134765625
1702338687708353300,13.590353271484375,-371.98638916015625,-177.8106689453125,-298.8372802734375
1702338687809000200,13.691000244140625,-372.20611572265625,-177.7923583984375,-298.681640625
1702338687909769200,13.791769287109375,-372.04742431640625,-177.7435302734375,-298.84796142578125
1702338688010477000,13.89247705078125,-371.533203125,-178.1097412109375,-298.92578125
1702338688111185200,13.99318505859375,-372.10845947265625,-177.734375,-298.73046875
1702338688211923700,14.093923828125,-372.08404541015625,-177.94647216796875,-298.7396240234375
1702338688312601000,14.19460107421875,-372.15728759765625,-177.83050537109375,-298.8372802734375
1702338688413309200,14.29530908203125,-371.94976806640625,-178.033447265625,-298.6724853515625
1702338688514047700,14.3960478515625,-372.07183837890625,-177.95562744140625,-298.779296875
1702338688614725000,14.49672509765625,-371.97418212890625,-177.93731689453125,-298.73046875
1702338688715433200,14.59743310546875,-371.86431884765625,-177.752685546875,-298.7213134765625
1702338688816141300,14.698141357421875,-372.12066650390625,-177.9754638671875,-298.75030517578125
1702338688916849200,14.79884912109375,-372.04742431640625,-178.01361083984375,-298.779296875
1702338689017557200,14.89955712890625,-371.71630859375,-177.850341796875,-298.583984375
1702338689118295800,15.0002958984375,-371.82769775390625,-177.8594970703125,-298.6724853515625
1702338689269033200,15.151033203125,-372.04742431640625,-177.53143310546875,-298.876953125
1702338689369741300,15.2517412109375,-372.4761962890625,-177.48260498046875,-299.072265625
1702338689470479600,15.352479736328124,-372.10845947265625,-177.96630859375,-298.828125
1702338689571187700,15.453187744140624,-372.04742431640625,-177.53143310546875,-298.73046875
1702338689671926300,15.55392626953125,-371.68121337890625,-178.11126708984375,-298.486328125
1702338689772603600,15.654603759765624,-371.13037109375,-178.1585693359375,-298.974609375
1702338689873311700,15.755311767578124,-371.80328369140625,-177.91748046875,-299.70703125
1702338689974019800,15.856019775390624,-371.3134765625,-178.01361083984375,-299.169921875
1702338690074758400,15.95675830078125,-371.435546875,-177.82135009765625,-299.072265625
1702338690175435800,16.057435791015624,-371.62017822265625,-178.06243896484375,-299.0234375
1702338690276143900,16.158143798828124,-371.74224853515625,-177.96630859375,-298.779296875
