time,seconds_elapsed,text
1702469766606546400,131092.4885463867,Time condition met as time is after 20:00
1702469766707285000,131092.5892849121,Time condition met as time is after 20:00
1702469766807993000,131092.68999316407,Time condition met as time is after 20:00
1702469766908670500,131092.79067041015,Time condition met as time is after 20:00
1702469767009317600,131092.89131762696,Time condition met as time is after 20:00
1702469767110056000,131092.9920559082,Time condition met as time is after 20:00
1702469767210733600,131093.09273364258,Time condition met as time is after 20:00
1702469767311441700,131093.1934416504,Time condition met as time is after 20:00
1702469767412149500,131093.29414941405,Time condition met as time is after 20:00
1702469767512857600,131093.39485766602,Time condition met as time is after 20:00
1702469767613565400,131093.49556542968,Time condition met as time is after 20:00
1702469767714243000,131093.59624316407,Time condition met as time is after 20:00
1702469767814981600,131093.69698168946,Time condition met as time is after 20:00
1702469767915720200,131093.79772021485,Time condition met as time is after 20:00
1702469768016428000,131093.8984279785,Time condition met as time is after 20:00
1702469768117105700,131093.9991057129,Time condition met as time is after 20:00
1702469768217844200,131094.09984423828,Time condition met as time is after 20:00
1702469768318521600,131094.20052148437,Time condition met as time is after 20:00
1702469768419260200,131094.3012602539,Time condition met as time is after 20:00
1702469768519937500,131094.4019375,Time condition met as time is after 20:00
1702469768620645600,131094.50264575196,Time condition met as time is after 20:00
1702469768721384200,131094.60338427735,Time condition met as time is after 20:00
1702469768822061600,131094.70406152343,Time condition met as time is after 20:00
1702469768922769700,131094.8047697754,Time condition met as time is after 20:00
1702469769023477800,131094.9054777832,Time condition met as time is after 20:00
1702469769124277200,131095.00627734375,Time condition met as time is after 20:00
1702469769225290500,131095.10729052735,Time condition met as time is after 20:00
1702469769325540600,131095.20754052734,Time condition met as time is after 20:00
1702469769426370800,131095.3083708496,Time condition met as time is after 20:00
1702469769527078700,131095.40907861327,Time condition met as time is after 20:00
1702469769627786800,131095.50978686524,Time condition met as time is after 20:00
1702469769728494800,131095.61049487305,Time condition met as time is after 20:00
1702469769829202700,131095.7112026367,Time condition met as time is after 20:00
1702469769929910800,131095.81191088867,Time condition met as time is after 20:00
1702469770030557700,131095.91255761718,Time condition met as time is after 20:00
1702469770131296300,131096.01329614257,Time condition met as time is after 20:00
1702469770231974000,131096.11397387696,Time condition met as time is after 20:00
1702469770332743000,131096.21474291992,Time condition met as time is after 20:00
1702469770433450800,131096.31545068359,Time condition met as time is after 20:00
1702469770534158800,131096.41615893555,Time condition met as time is after 20:00
1702469770634897400,131096.51689746094,Time condition met as time is after 20:00
1702469770735574800,131096.61757470702,Time condition met as time is after 20:00
1702469770836313300,131096.7183132324,Time condition met as time is after 20:00
1702469770937021400,131096.81902148438,Time condition met as time is after 20:00
1702469771037638000,131096.91963793946,Time condition met as time is after 20:00
1702469771138345700,131097.02034570312,Time condition met as time is after 20:00
1702469771239053800,131097.12105371093,Time condition met as time is after 20:00
1702469771339853300,131097.22185327148,Time condition met as time is after 20:00
1702469771440531000,131097.32253100586,Time condition met as time is after 20:00
1702469771541269500,131097.42326953125,Time condition met as time is after 20:00
1702469771641947000,131097.52394677734,Time condition met as time is after 20:00
1702469771742685400,131097.62468554688,Time condition met as time is after 20:00
1702469771843362800,131097.72536279296,Time condition met as time is after 20:00
1702469771944071000,131097.82607080077,Time condition met as time is after 20:00
1702469772044748500,131097.92674853516,Time condition met as time is after 20:00
1702469772145456400,131098.02745629882,Time condition met as time is after 20:00
1702469772246134000,131098.1281340332,Time condition met as time is after 20:00
1702469772346841900,131098.22884179687,Time condition met as time is after 20:00
1702469772447550000,131098.32955004883,Time condition met as time is after 20:00
1702469772548196900,131098.43019677734,Time condition met as time is after 20:00
1702469772648935400,131098.53093530273,Time condition met as time is after 20:00
1702469772749674000,131098.63167407227,Time condition met as time is after 20:00
1702469772850351400,131098.73235131835,Time condition met as time is after 20:00
1702469772951059500,131098.83305957032,Time condition met as time is after 20:00
1702469773051798000,131098.9337980957,Time condition met as time is after 20:00
1702469773152475400,131099.0344753418,Time condition met as time is after 20:00
1702469773253214000,131099.13521386718,Time condition met as time is after 20:00
1702469773353922000,131099.23592211914,Time condition met as time is after 20:00
1702469773454599400,131099.33659936523,Time condition met as time is after 20:00
1702469773555307500,131099.4373076172,Time condition met as time is after 20:00
1702469773656015600,131099.538015625,Time condition met as time is after 20:00
1702469773756754000,131099.63875390624,Time condition met as time is after 20:00
1702469773857462000,131099.73946191405,Time condition met as time is after 20:00
1702469773958139600,131099.84013964844,Time condition met as time is after 20:00
1702469774058939100,131099.940939209,Time condition met as time is after 20:00
1702469774159647200,131100.0416472168,Time condition met as time is after 20:00
1702469774260324600,131100.14232470703,Time condition met as time is after 20:00
1702469774361063200,131100.24306323242,Time condition met as time is after 20:00
1702469774461771000,131100.34377099609,Time condition met as time is after 20:00
1702469774562479000,131100.4444790039,Time condition met as time is after 20:00
1702469774663187200,131100.54518725586,Time condition met as time is after 20:00
1702469774763864600,131100.64586450194,Time condition met as time is after 20:00
1702469774864572700,131100.7465727539,Time condition met as time is after 20:00
1702469774965311200,131100.8473112793,Time condition met as time is after 20:00
