time,seconds_elapsed,z,y,x
1702338651746588400,0.23858837890625,-44,-1.5,52.25
1702338651846692000,0.338692138671875,-38.5,6.75,-2.25
1702338651946417000,0.4384169921875,-37,4,-2.25
1702338652046423000,0.538423095703125,-37.5,5.5,-4.25
1702338652146423600,0.638423583984375,-37.5,4.75,-5
1702338652246612500,0.738612548828125,-36.5,3,-7.5
1702338652346570200,0.8385703125,-34.5,1.5,-11.75
1702338652446588000,0.938587890625,-35,0.75,-13
1702338652546468900,1.03846875,-35.25,0.75,-16
1702338652650964500,1.142964599609375,-33.75,0.75,-19.25
1702338652746600200,1.23860009765625,-34,-0.5,-20
1702338652846806500,1.338806640625,-33.75,0,-22
1702338652946923500,1.438923583984375,-34,0.5,-25.25
1702338653046923500,1.538923583984375,-34,0.5,-25.25
1702338653226629000,1.718629150390625,-36,0,-24.5
1702338653346630000,1.8386298828125,-36,1.25,-25.25
1702338653528279600,2.020279541015625,-35.5,0.5,-25.25
1702338653628386800,2.12038671875,-38.25,1.5,-25.5
1702338653726657000,2.218656982421875,-38.5,1.75,-24.75
1702338653826600700,2.3186005859375,-37,2.5,-24.75
1702338653926559200,2.418559326171875,-37,1.75,-22.75
1702338654036584400,2.52858447265625,-35.25,1.5,-26
1702338654143364400,2.6353642578125,-36.5,1.25,-25.5
1702338654326915300,2.818915283203125,-7,-9.5,17.5
1702338654426416000,2.918416015625,-7,-9.5,17.5
1702338654526415000,3.0184150390625,-46.5,21.5,-25.5
1702338654626427600,3.118427734375,-46.5,24.75,-33
1702338654726446300,3.2184462890625,-43.5,20.75,-39.5
1702338654826449000,3.318448974609375,-45,21.5,-35
1702338654926455800,3.418455810546875,-49,24.5,-30.25
1702338655026450400,3.518450439453125,-46.75,20.25,-27.25
1702338655126454800,3.618454833984375,-50.25,25.75,-22.75
1702338655226446600,3.718446533203125,-50.75,26.25,-20.5
1702338655327757300,3.81975732421875,-50.75,25,-21.5
1702338655427962000,3.919962158203125,-51.5,26.25,-20
1702338655527756000,4.019756103515625,-49.25,26.25,-16.5
1702338655627792100,4.119792236328125,-51.5,24,-20
1702338655727874800,4.219874755859375,-50,24.75,-25.25
1702338655838780700,4.33078076171875,-49.75,24.75,-23.25
1702338655938668800,4.430668701171875,-52.75,24.5,-25.25
1702338656037308000,4.529307861328125,-52,23,-24.75
1702338656137695700,4.62969580078125,-50,24,-21.5
1702338656237699800,4.729699951171875,-49.75,23.25,-24.5
1702338656397605600,4.889605712890625,-49.5,24.5,-20.75
1702338656497955600,4.98995556640625,-49.5,25.25,-22
1702338656597717800,5.0897177734375,-51.25,23.75,-19.75
1702338656697706000,5.1897060546875,-50,24.5,-15
1702338656799038200,5.2910380859375,-51,26,-20.75
1702338656897801700,5.3898017578125,-50.5,26.25,-19.75
1702338656997686800,5.489686767578125,-52,25.5,-23.5
1702338657097693000,5.58969287109375,-51.5,24.75,-20.5
1702338657197895400,5.6898955078125,-53,25.5,-22
1702338657297276000,5.78927587890625,-52.5,25.25,-19.75
1702338657397694700,5.88969482421875,-49.75,24.75,-24
1702338657497702400,5.989702392578125,-52.75,25.5,-18.5
1702338657597703200,6.089703125,-49.75,25.25,-20.5
1702338657697719600,6.189719482421875,-48.25,23,-22.5
1702338657799040500,6.29104052734375,-49.5,23.25,-19.75
1702338657897670000,6.389669921875,-52,26.25,-23.5
1702338657997693000,6.48969287109375,-47.5,22.5,-20.5
1702338658097791700,6.589791748046875,-52,26.75,-23.25
1702338658197696500,6.689696533203125,-50,22.25,-20.75
1702338658297687000,6.78968701171875,-51.25,24.75,-22.5
1702338658397672200,6.889672119140625,-51,24.75,-20.5
1702338658497725000,6.989724853515625,-55,24.5,-22
1702338658597679600,7.0896796875,-52.75,25.5,-22
1702338658700461300,7.19246142578125,-51.5,23.25,-21.75
1702338658797849300,7.289849365234375,-54.5,24,-17.75
1702338658897712600,7.389712646484375,-49,23.75,-23.5
1702338658997690400,7.4896904296875,-50,24,-22
1702338659097674500,7.589674560546875,-52,26,-24.5
1702338659197683500,7.689683349609375,-52.75,26.75,-22
1702338659296892400,7.788892333984375,-50.5,24,-26.25
1702338659397678000,7.889677978515625,-50.5,25.25,-20.5
